Stock,Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Operating Income As Reported,Otherunder Preferred Stock Dividend,Net Income From Tax Loss Carryforward,Gain On Sale Of Ppe,Earnings From Equity Interest,Other Operating Expenses,Other Taxes,Total Other Finance Cost,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Salaries And Wages,Gain On Sale Of Business,Provision For Doubtful Accounts,Net Income Discontinuous Operations,Rent Expense Supplemental,Other Special Charges,Restructuring And Mergern Acquisition,Other Non Interest Expense,Average Dilution Earnings,Amortization,Amortization Of Intangibles Income Statement,Rent And Landing Fees,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded,Depreciation Income Statement,Insurance And Claims,Occupancy And Equipment,Preferred Stock Dividends,Research And Development,Professional Expense And Contract Services Expense,Net Income Extraordinary,Earnings From Equity Interest Net Of Tax
DTCI,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3073905.0,3073905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120747.64,,,,,,,,,,,,,,,,,,,
DUSIT,2023-12-31,9752800.0,0.2,804575000.0,48764000.0,48764000.0,-569820000.0,900694000.0,2978370000.0,853339000.0,-47355000.0,-496701000.0,523893000.0,27192000.0,-608831200.0,-569820000.0,5576039000.0,845285000.0,845285000.0,-0.82,-0.82,-569820000.0,-569820000.0,-569820000.0,14246000.0,-584066000.0,-584066000.0,12818000.0,-571248000.0,124723000.0,27466000.0,0.0,,,48764000.0,-496701000.0,523893000.0,27192000.0,-199270000.0,1963216000.0,2578624000.0,491915000.0,2086709000.0,2086709000.0,1763946000.0,3612823000.0,5376769000.0,5376769000.0,-95848000.0,,,0.0,48493000.0,-881649000.0,,,266241000.0,266241000.0,,0.0,,,219492000.0,,,,,,,,,,,,,,,,,,,
DUSIT,2022-12-31,8971034.224985,0.027771,541182000.0,323033000.0,323033000.0,-501462000.0,934442000.0,2208357000.0,864215000.0,-70227000.0,-480842000.0,492549000.0,11707000.0,-815523965.775015,-501462000.0,4549175000.0,845285000.0,845285000.0,-0.65,-0.65,-501462000.0,-501462000.0,-501462000.0,45685000.0,-547147000.0,-547147000.0,-15629000.0,-562776000.0,374423000.0,25603000.0,223705000.0,0.0,,99328000.0,-480842000.0,492549000.0,11707000.0,-456357000.0,1698160000.0,2024369000.0,331750000.0,1692619000.0,1692619000.0,1241803000.0,2851015000.0,4092818000.0,4092818000.0,-96014000.0,,,92895000.0,25787000.0,-617993000.0,,,291784000.0,291784000.0,,130810000.0,,,109086000.0,,,,,,,,,,,,,,,,,,,
DUSIT,2021-12-31,132181000.0,0.2,-251688000.0,660905000.0,660905000.0,-944997000.0,940241000.0,1390246000.0,409217000.0,-531024000.0,-459271000.0,469266000.0,9995000.0,-1473721000.0,-944997000.0,3437452000.0,845285000.0,845285000.0,-1.12,-1.12,-944997000.0,-944997000.0,-944997000.0,78976000.0,-1023973000.0,-1023973000.0,23683000.0,-1000290000.0,702073000.0,25433000.0,449587000.0,105635000.0,,211318000.0,-459271000.0,469266000.0,9995000.0,-1243092000.0,1393634000.0,1538055000.0,214805000.0,1323250000.0,1323250000.0,150542000.0,2043818000.0,2194360000.0,2194360000.0,-546759000.0,,,303798000.0,15735000.0,-431090000.0,,,286669000.0,286669000.0,,251424000.0,,,144941000.0,,0.0,,,,,,,,,,286669000.0,,,,,,,
DUSIT,2020-12-31,266954.910195,0.000596,-225715000.0,448219000.0,448219000.0,-1011135000.0,852580000.0,1473603000.0,222504000.0,-630076000.0,-404339000.0,420982000.0,16643000.0,-1459087045.089805,-1011135000.0,3453050000.0,845285000.0,845285000.0,-1.2,-1.2,-1011135000.0,-1011135000.0,-1011135000.0,39297000.0,-1050432000.0,-1050432000.0,-626000.0,-1051058000.0,534238000.0,25433000.0,73524000.0,0.0,,374695000.0,-404339000.0,420982000.0,16643000.0,-1180957000.0,1314628000.0,1624093000.0,219773000.0,1404320000.0,1404320000.0,133671000.0,2138422000.0,2272093000.0,2272093000.0,-690662000.0,,,4601000.0,60586000.0,-497226000.0,,,187761000.0,187761000.0,1063086724.0,23220000.0,,,56455000.0,,-45703000.0,,,,,,,,,,187761000.0,,,,,,,
DUSIT,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132724390.0,,,,,,0.0,,,,,,,,,,89465126.0,,,,,,,
EA,2023-12-31,14512217.8448,0.0304,13092640872.0,477375587.0,477375587.0,7606172115.0,3678266313.0,19694797371.0,13570016459.0,9891750146.0,-2065858000.0,2156090000.0,221614000.0,7143308745.8448,7606172115.0,21081863471.0,3729000000.0,3729000000.0,2.04,2.04,7606172115.0,7606172115.0,7606172115.0,106032725.0,7500139390.0,7500139390.0,235520756.0,7735660146.0,808943716.0,71270000.0,-630415822.0,,,1107791409.0,-2065858000.0,2156090000.0,221614000.0,8992573758.0,1387066100.0,1387066100.0,70376045.0,1316690055.0,1316690055.0,10379639858.0,19694797371.0,30074437229.0,30074437229.0,,,,1594000.0,260298129.0,,,131382000.0,,,,-671076822.0,,,,-39067000.0,,,,,,,,,,,,,,,,,,
EA,2022-12-31,40637536.2624,0.0192,10415467464.0,2116538347.0,2116538347.0,7604287313.0,3647706823.0,17394106015.0,12532005811.0,8884298988.0,-1377876000.0,1332511000.0,34902000.0,5528386502.2624,7604287313.0,18820873264.0,3730000000.0,3730000000.0,2.04,2.04,7604287313.0,7604287313.0,7604287313.0,197818123.0,7406469190.0,7406469190.0,145318798.0,7551787988.0,2395922468.0,61741000.0,2095557000.0,,,20981347.0,-1377876000.0,1332511000.0,34902000.0,6533741229.0,1426767249.0,1426767249.0,60580967.0,1366186282.0,1366186282.0,7960508478.0,17394106015.0,25354614493.0,25354614493.0,,,,2094762000.0,217643121.0,,,80267000.0,,,,0.0,,,,-795000.0,,,,,,,,,,,,,,,,,,
EA,2021-12-31,1996594.0526,0.0049,9598336394.0,407468174.0,407468174.0,6100068004.0,2767972376.0,11893352868.0,10005804568.0,7237832192.0,-1354691000.0,1305134000.0,32847000.0,5694596424.0526,6100068004.0,13330684988.0,3730000000.0,3730000000.0,1.64,1.64,6100068004.0,6100068004.0,6100068004.0,170715124.0,5929352880.0,5929352880.0,3345312.0,5932698192.0,444263991.0,23250000.0,328189000.0,,,79279174.0,-1354691000.0,1305134000.0,32847000.0,6843125172.0,1437332120.0,1437332120.0,71841661.0,1365490459.0,1365490459.0,8280457292.0,11893352868.0,20173810160.0,20173810160.0,,,,318763000.0,13545817.0,,,82404000.0,,,,,,,,-9426000.0,,,,,,,,,,,,,,,,,,
EA,2020-12-31,16394819.4,0.2,9135265081.0,81974097.0,81974097.0,5204565828.0,2730380260.0,9271419410.0,9217239178.0,6486858918.0,-1550501826.0,1457700444.0,30528099.0,5138986550.4,5204565828.0,10549835177.0,3730000000.0,3730000000.0,1.4,1.4,5204565828.0,5204565828.0,5204565828.0,157184461.0,5047381367.0,5047381367.0,-18222893.0,5029158474.0,49938371.0,29014004.0,60043200.0,,,21930897.0,-1550501826.0,1457700444.0,30528099.0,6529721929.0,1278415767.0,1278415767.0,79838972.0,1198576795.0,1198576795.0,7808137696.0,9271419410.0,17079557106.0,17079557106.0,,,,35723438.0,-61049730.0,,,123329481.0,,,,,,,,-24319762.0,,,,,,,,,,,,,,,,,,
EA,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4442679.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
EASON,2023-12-31,2678642.431904,0.0776,139828573.19,34518588.04,34518588.04,122565105.78,31719485.7,538289227.76,174347161.23,142627675.53,4076188.73,1279687.68,5355876.41,90725160.171904,122565105.78,708132859.74,566764945.0,566764945.0,0.2163,0.2163,122565105.78,122565105.78,122565105.78,-7807499.96,130372605.74,130372605.74,10975382.11,141347987.85,92384107.96,26308390.92,,,,34518588.04,4076188.73,1279687.68,5355876.41,44887691.16,169843631.98,168394308.72,8024258.8,160370049.92,160370049.92,214731323.14,538289227.76,753020550.9,753020550.9,107772265.26,,,,31557129.0,1449323.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
